71807	The Man with the Golden Gun	1974	125	6.8	84366	Action,Adventure,Thriller
71853	Monty Python and the Holy Grail	1975	91	8.3	447707	Adventure,Comedy,Fantasy
72271	The Texas Chain Saw Massacre	1974	83	7.5	117187	Horror
72431	Young Frankenstein	1974	106	8.0	130563	Comedy
72684	Barry Lyndon	1975	185	8.1	127884	Adventure,Drama,History
72890	Dog Day Afternoon	1975	125	8.0	213844	Biography,Crime,Drama
73195	Jaws	1975	124	8.0	495792	Adventure,Drama,Thriller
73486	One Flew Over the Cuckoo's Nest	1975	133	8.7	805014	Drama
73629	The Rocky Horror Picture Show	1975	100	7.4	119374	Comedy,Musical
74119	All the President's Men	1976	138	8.0	88881	Biography,Drama,History
74285	Carrie	1976	98	7.4	147708	Horror
74486	Eraserhead	1977	89	7.4	87262	Horror
74860	Marathon Man	1976	125	7.5	51160	Crime,Thriller
74958	Network	1976	121	8.1	127349	Drama
75005	The Omen	1976	111	7.6	94946	Horror
75029	The Outlaw Josey Wales	1976	135	7.9	58425	Western
75148	Rocky	1976	120	8.1	457639	Drama,Sport
75314	Taxi Driver	1976	114	8.3	615626	Crime,Drama
75686	Annie Hall	1977	93	8.0	232120	Comedy,Romance
75860	Close Encounters of the Third Kind	1977	138	7.7	163170	Drama,Sci-Fi
76618	The Rescuers	1977	78	6.9	50723	Adventure,Animation,Comedy
76666	Saturday Night Fever	1977	118	6.8	62718	Drama,Music
76752	The Spy Who Loved Me	1977	125	7.1	87127	Action,Adventure,Thriller
76759	Star Wars: Episode IV - A New Hope	1977	121	8.6	1087492	Action,Adventure,Fantasy
76786	Suspiria	1977	98	7.5	62844	Horror
77402	Dawn of the Dead	1978	127	8.0	101451	Horror,Thriller
77416	The Deer Hunter	1978	183	8.1	277335	Drama,War
77631	Grease	1978	110	7.2	201856	Musical,Romance
77651	Halloween	1978	91	7.8	198444	Horror,Thriller
77766	Jaws 2	1978	116	5.7	61663	Adventure,Drama,Horror
77928	Midnight Express	1978	121	7.6	63658	Biography,Crime,Drama
77975	Animal House	1978	109	7.6	102823	Comedy
78346	Superman	1978	143	7.3	144252	Action,Adventure,Drama
78748	Alien	1979	116	8.5	690925	Horror,Sci-Fi
78788	Apocalypse Now	1979	147	8.5	531211	Drama,War
78841	Being There	1979	130	8.0	59142	Comedy,Drama
79116	Escape from Alcatraz	1979	112	7.6	101619	Biography,Crime,Drama
79417	Kramer vs. Kramer	1979	105	7.8	114851	Drama
79470	Life of Brian	1979	94	8.1	324292	Comedy
79501	Mad Max	1979	88	7.0	172789	Action,Adventure,Sci-Fi
79522	Manhattan	1979	96	8.0	119282	Comedy,Drama,Romance
79574	Moonraker	1979	126	6.3	79880	Action,Adventure,Sci-Fi
79817	Rocky II	1979	119	7.2	165593	Drama,Sport
79944	Stalker	1979	162	8.1	93646	Drama,Sci-Fi
79945	Star Trek: The Motion Picture	1979	132	6.4	72895	Adventure,Mystery,Sci-Fi
80120	The Warriors	1979	92	7.7	83403	Action,Crime,Thriller
80339	Airplane!	1980	88	7.8	185373	Comedy
80453	The Blue Lagoon	1980	104	5.7	57112	Adventure,Drama,Romance
80455	The Blues Brothers	1980	133	7.9	163431	Adventure,Comedy,Crime
