2024544	12 Years a Slave	2013	134	8.1	557990	Biography	Drama	History
382932	Ratatouille	2007	111	8.0	557007	Adventure	Animation	Comedy
121765	Star Wars: Episode II - Attack of the Clones	2002	142	6.6	556537	Action	Adventure	Fantasy
457430	Pan's Labyrinth	2006	118	8.2	556315	Drama	Fantasy	War
1285016	The Social Network	2010	120	7.7	555882	Biography	Drama	
2975590	Batman v Superman: Dawn of Justice	2016	151	6.5	554252	Action	Adventure	Fantasy
1170358	The Hobbit: The Desolation of Smaug	2013	161	7.8	553306	Adventure	Fantasy	
796366	Star Trek	2009	127	8.0	549946	Action	Adventure	Sci-Fi
241527	Harry Potter and the Sorcerer's Stone	2001	152	7.6	548607	Adventure	Family	Fantasy
116282	Fargo	1996	98	8.1	545525	Crime	Drama	Thriller
449088	Pirates of the Caribbean: At World's End	2007	169	7.1	543604	Action	Adventure	Fantasy
126029	Shrek	2001	90	7.9	542471	Adventure	Animation	Comedy
816711	World War Z	2013	116	7.0	538613	Action	Adventure	Horror
4154756	Avengers: Infinity War	2018	149	8.5	538571	Action	Adventure	Fantasy
1670345	Now You See Me	2013	115	7.3	538078	Crime	Mystery	Thriller
988045	Sherlock Holmes	2009	128	7.6	537449	Action	Adventure	Crime
3498820	Captain America: Civil War	2016	147	7.8	535753	Action	Adventure	Sci-Fi
245429	Spirited Away	2001	125	8.6	534041	Adventure	Animation	Family
78788	Apocalypse Now	1979	147	8.5	531211	Drama	War	
114746	Twelve Monkeys	1995	129	8.0	530822	Mystery	Sci-Fi	Thriller
118799	Life Is Beautiful	1997	116	8.6	530679	Comedy	Drama	Romance
936501	Taken	2008	93	7.8	529853	Action	Crime	Thriller
1631867	Edge of Tomorrow	2014	113	7.9	528783	Action	Sci-Fi	
1446714	Prometheus	2012	124	7.0	528502	Adventure	Mystery	Sci-Fi
381061	Casino Royale	2006	144	8.0	527910	Action	Adventure	Thriller
1637725	Ted	2012	106	6.9	527333	Comedy	Fantasy	Romance
2802144	Kingsman: The Secret Service	2014	129	7.7	526525	Action	Adventure	Comedy
107048	Groundhog Day	1993	101	8.0	526303	Comedy	Fantasy	Romance
421715	The Curious Case of Benjamin Button	2008	166	7.8	525763	Drama	Fantasy	Romance
